date,new_subscriptions,unsubscriptions,simchurn,simchurn_revenue_millimes,active_subscriptions,total_billings,billing_rate,revenue_tnd,revenue_usd,total_clients,calculated_at
2025-10-01,449,536,46,36000.000,6722,873,17.49,2619.000,898.317,4992,"2026-01-22 11:08:37"
2025-10-02,291,331,28,18000.000,6682,415,8.31,1245.000,427.035,4995,"2026-01-22 11:08:50"
2025-10-03,299,152,21,21000.000,6829,506,9.79,1518.000,520.674,5166,"2026-01-22 11:08:55"
2025-10-04,253,70,5,9000.000,7012,393,7.33,1179.000,404.397,5360,"2026-01-22 11:08:57"
2025-10-05,309,579,20,24000.000,6742,703,13.76,2109.000,723.387,5110,"2026-01-22 11:09:03"
2025-10-06,247,250,22,30000.000,6739,530,10.34,1590.000,545.370,5124,"2026-01-22 11:09:08"
2025-10-07,228,183,12,12000.000,6784,497,9.60,1491.000,511.413,5176,"2026-01-22 11:09:13"
2025-10-08,194,242,13,9000.000,6736,367,7.13,1101.000,377.643,5147,"2026-01-22 11:09:18"
2025-10-09,205,231,12,6000.000,6710,416,8.07,1248.000,428.064,5152,"2026-01-22 11:09:21"
2025-10-10,213,275,20,18000.000,6648,482,9.41,1446.000,495.978,5120,"2026-01-22 11:09:25"
2025-10-11,211,241,23,21000.000,6618,424,8.30,1272.000,436.296,5107,"2026-01-22 11:09:27"
2025-10-12,199,261,14,6000.000,6556,399,7.89,1197.000,410.571,5060,"2026-01-22 11:09:33"
2025-10-13,183,305,14,12000.000,6434,397,8.02,1191.000,408.513,4950,"2026-01-22 11:09:39"
2025-10-14,148,210,10,12000.000,6372,281,5.73,843.000,289.149,4903,"2026-01-22 11:09:43"
2025-10-15,161,247,12,12000.000,6286,325,6.73,975.000,334.425,4829,"2026-01-22 11:09:47"
2025-10-16,144,183,9,6000.000,6247,307,6.39,921.000,315.903,4806,"2026-01-22 11:09:50"
2025-10-17,110,177,7,6000.000,6180,236,4.96,708.000,242.844,4762,"2026-01-22 11:09:53"
2025-10-18,127,241,11,9000.000,6066,250,5.36,750.000,257.250,4662,"2026-01-22 11:09:56"
2025-10-19,125,212,20,6000.000,5979,192,4.18,576.000,197.568,4590,"2026-01-22 11:10:00"
2025-10-20,132,145,7,9000.000,5966,294,6.40,882.000,302.526,4592,"2026-01-22 11:10:04"
2025-10-21,144,182,11,15000.000,5928,354,7.74,1062.000,364.266,4572,"2026-01-22 11:10:09"
2025-10-22,233,295,16,18000.000,5866,423,9.35,1269.000,435.267,4523,"2026-01-22 11:10:13"
2025-10-23,137,246,5,6000.000,5757,387,8.72,1161.000,398.223,4438,"2026-01-22 11:10:17"
2025-10-24,124,338,12,6000.000,5543,348,7.95,1044.000,358.092,4380,"2026-01-22 11:10:20"
2025-10-25,186,1409,7,0.000,4320,1008,24.09,3024.000,1037.232,4184,"2026-01-22 11:10:25"
2025-10-26,177,317,14,24000.000,4180,543,13.41,1629.000,558.747,4048,"2026-01-22 11:10:30"
2025-10-27,222,405,11,15000.000,3997,690,17.80,2070.000,710.010,3876,"2026-01-22 11:10:35"
2025-10-28,168,271,16,18000.000,3894,461,12.20,1383.000,474.369,3778,"2026-01-22 11:10:41"
2025-10-29,190,307,12,3000.000,3777,506,13.78,1518.000,520.674,3672,"2026-01-22 11:10:51"
2025-10-30,216,336,14,12000.000,3657,598,16.82,1794.000,615.342,3555,"2026-01-22 11:10:57"
2025-10-31,176,300,14,24000.000,3533,505,14.69,1515.000,519.645,3438,"2026-01-22 11:11:00"
